Typhoon (Super Typhoon),CHANCHU,1,21:40,15-May-06,7:15,17-May-06,33 35
Typhoon (Super Typhoon),CHANCHU,3,7:15,17-May-06,21:15,17-May-06,14 00
Typhoon (Super Typhoon),CHANCHU,1,21:15,17-May-06,4:40,18-May-06,07 25
Tropical Storm,JELAWAT,1,9:40,27-Jun-06,18:40,28-Jun-06,33 00
Typhoon,PRAPIROON,1,12:10,1-Aug-06,16:20,2-Aug-06,28 10
Typhoon,PRAPIROON,3,16:20,2-Aug-06,5:40,4-Aug-06,37 20
Typhoon,PRAPIROON,1,5:40,4-Aug-06,15:40,4-Aug-06,10 00
Severe Tropical Storm,BOPHA,1,8:40,9-Aug-06,22:10,10-Aug-06,37 30
Tropical Depression,no name,1,11:10,24-Aug-06,6:20,25-Aug-06,19 10
Tropical Depression,no name,1,13:40,12-Sep-06,10:35,13-Sep-06,20 55
Tropical Depression,no name,3,10:35,13-Sep-06,14:40,13-Sep-06,04 05
Tropical Depression,no name,1,14:40,13-Sep-06,16:10,13-Sep-06,01 30
Typhoon (Super Typhoon),CIMARON,1,14:20,31-Oct-06,13:30,3-Nov-06,71 10
Severe Tropical Storm,PABUK,1,5:40,8-Aug-07,2:40,9-Aug-07,21 00
Severe Tropical Storm,PABUK,3,2:40,9-Aug-07,11:15,9-Aug-07,08 35
Severe Tropical Storm,PABUK,1,7:50,10-Aug-07,12:40,10-Aug-07,04 50
Severe Tropical Storm,PABUK,3,12:40,10-Aug-07,14:30,10-Aug-07,01 50
Severe Tropical Storm,PABUK,8 SW,14:30,10-Aug-07,21:40,10-Aug-07,07 10
Severe Tropical Storm,PABUK,3,21:40,10-Aug-07,1:40,11-Aug-07,04 00
Severe Tropical Storm,PABUK,1,1:40,11-Aug-07,8:30,11-Aug-07,06 50
Tropical Storm,FRANCISCO,1,2:40,23-Sep-07,11:15,24-Sep-07,32 35
Typhoon,NEOGURI,1,16:15,17-Apr-08,20:40,18-Apr-08,28 25
Typhoon,NEOGURI,3,20:40,18-Apr-08,1:30,20-Apr-08,28 50
Typhoon (Severe Typhoon),FENGSHEN,1,7:40,23-Jun-08,16:40,24-Jun-08,33 00
Typhoon (Severe Typhoon),FENGSHEN,3,16:40,24-Jun-08,22:45,24-Jun-08,06 05
Typhoon (Severe Typhoon),FENGSHEN,8 NE,22:45,24-Jun-08,0:45,25-Jun-08,02 00
Typhoon (Severe Typhoon),FENGSHEN,8 NW,0:45,25-Jun-08,5:45,25-Jun-08,05 00
Typhoon (Severe Typhoon),FENGSHEN,8 SW,5:45,25-Jun-08,11:15,25-Jun-08,05 30
Typhoon (Severe Typhoon),FENGSHEN,3,11:15,25-Jun-08,22:15,25-Jun-08,11 00
Severe Tropical Storm,KAMMURI,1,10:15,4-Aug-08,19:15,5-Aug-08,33 00
Severe Tropical Storm,KAMMURI,3,19:15,5-Aug-08,5:40,6-Aug-08,10 25
Severe Tropical Storm,KAMMURI,8 NE,5:40,6-Aug-08,8:40,6-Aug-08,03 00
Severe Tropical Storm,KAMMURI,8 SE,8:40,6-Aug-08,17:15,6-Aug-08,08 35
Severe Tropical Storm,KAMMURI,3,17:15,6-Aug-08,4:15,7-Aug-08,11 00
Severe Tropical Storm,KAMMURI,1,4:15,7-Aug-08,7:15,7-Aug-08,03 00
Typhoon,NURI,1,18:15,20-Aug-08,20:40,21-Aug-08,26 25
